
 time | altitude |  velocity | accel_bias | alt (bmp) | vert_accel |
    16.3s     |523.4932m      | 0.1190m/s    | 0.0073m/s^2  | 522.9382m      | 0.0146m/s^2  |
    16.4s     |523.4908m      | 0.1185m/s    | 0.0074m/s^2  | 522.8937m      | 0.0245m/s^2  |
    16.5s     |523.4875m      | 0.1183m/s    | 0.0075m/s^2  | 522.8937m      | 0.0265m/s^2  |
    16.6s     |523.4846m      | 0.1183m/s    | 0.0076m/s^2  | 522.9088m      | 0.0270m/s^2  |
    16.7s     |523.4817m      | 0.1177m/s    | 0.0077m/s^2  | 522.8937m      | 0.0217m/s^2  |
    16.8s     |523.4786m      | 0.1174m/s    | 0.0079m/s^2  | 522.8790m      | 0.0266m/s^2  |
    16.9s     |523.4752m      | 0.1170m/s    | 0.0080m/s^2  | 522.8790m      | 0.0247m/s^2  |
    17.0s     |523.4718m      | 0.1161m/s    | 0.0081m/s^2  | 522.8790m      | 0.0203m/s^2  |
    17.1s     |523.4683m      | 0.1157m/s    | 0.0082m/s^2  | 522.8790m      | 0.0165m/s^2  |
    17.2s     |523.4651m      | 0.1142m/s    | 0.0083m/s^2  | 522.9088m      | 0.0091m/s^2  |
    17.3s     |523.4625m      | 0.1130m/s    | 0.0084m/s^2  | 522.9088m      | 0.0141m/s^2  |
    17.4s     |523.4603m      | 0.1123m/s    | 0.0086m/s^2  | 522.9536m      | 0.0263m/s^2  |
    17.5s     |523.4594m      | 0.1125m/s    | 0.0087m/s^2  | 522.9981m      | 0.0244m/s^2  |
    17.6s     |523.4596m      | 0.1122m/s    | 0.0087m/s^2  | 523.0429m      | 0.0203m/s^2  |
    17.7s     |523.4603m      | 0.1116m/s    | 0.0088m/s^2  | 523.0429m      | 0.0208m/s^2  |
    17.8s     |523.4609m      | 0.1115m/s    | 0.0089m/s^2  | 523.0429m      | 0.0198m/s^2  |
    17.9s     |523.4598m      | 0.1106m/s    | 0.0090m/s^2  | 522.9628m      | 0.0157m/s^2  |
    18.0s     |523.4580m      | 0.1096m/s    | 0.0091m/s^2  | 522.9478m      | 0.0152m/s^2  |
    18.1s     |523.4562m      | 0.1081m/s    | 0.0092m/s^2  | 522.9628m      | 0.0083m/s^2  |
    18.2s     |523.4543m      | 0.1060m/s    | 0.0093m/s^2  | 522.9628m      | 0.0070m/s^2  |
    18.3s     |523.4531m      | 0.1045m/s    | 0.0094m/s^2  | 522.9926m      | 0.0135m/s^2  |
    18.4s     |523.4506m      | 0.1041m/s    | 0.0095m/s^2  | 522.9303m      | 0.0242m/s^2  |
    18.5s     |523.4473m      | 0.1036m/s    | 0.0096m/s^2  | 522.9002m      | 0.0234m/s^2  |
    18.6s     |523.4435m      | 0.1033m/s    | 0.0097m/s^2  | 522.8855m      | 0.0228m/s^2  |
    18.7s     |523.4400m      | 0.1029m/s    | 0.0098m/s^2  | 522.9002m      | 0.0164m/s^2  |
    18.8s     |523.4372m      | 0.1021m/s    | 0.0099m/s^2  | 522.9303m      | 0.0194m/s^2  |
    18.9s     |523.4346m      | 0.1008m/s    | 0.0100m/s^2  | 522.9303m      | 0.0176m/s^2  |
    19.0s     |523.4316m      | 0.0992m/s    | 0.0102m/s^2  | 522.9153m      | 0.0167m/s^2  |
    19.1s     |523.4289m      | 0.0987m/s    | 0.0103m/s^2  | 522.9303m      | 0.0210m/s^2  |
    19.2s     |523.4264m      | 0.0979m/s    | 0.0104m/s^2  | 522.9451m      | 0.0152m/s^2  |
    19.3s     |523.4245m      | 0.0973m/s    | 0.0104m/s^2  | 522.9748m      | 0.0204m/s^2  |
    19.4s     |523.4233m      | 0.0968m/s    | 0.0105m/s^2  | 523.0046m      | 0.0184m/s^2  |
    19.5s     |523.4229m      | 0.0966m/s    | 0.0106m/s^2  | 522.9844m      | 0.0266m/s^2  |
    19.6s     |523.4217m      | 0.0962m/s    | 0.0107m/s^2  | 523.0141m      | 0.0160m/s^2  |
    19.7s     |523.4212m      | 0.0950m/s    | 0.0108m/s^2  | 523.0439m      | 0.0168m/s^2  |
    19.8s     |523.4212m      | 0.0951m/s    | 0.0109m/s^2  | 523.0586m      | 0.0258m/s^2  |
    19.9s     |523.4216m      | 0.0950m/s    | 0.0109m/s^2  | 523.0887m      | 0.0179m/s^2  |
    20.0s     |523.4227m      | 0.0951m/s    | 0.0110m/s^2  | 523.0737m      | 0.0192m/s^2  |
    20.1s     |523.4225m      | 0.0947m/s    | 0.0111m/s^2  | 523.0087m      | 0.0202m/s^2  |
    20.2s     |523.4213m      | 0.0943m/s    | 0.0112m/s^2  | 522.9936m      | 0.0143m/s^2  |
    20.3s     |523.4199m      | 0.0930m/s    | 0.0112m/s^2  | 522.9936m      | 0.0123m/s^2  |
    20.4s     |523.4182m      | 0.0913m/s    | 0.0113m/s^2  | 522.9789m      | 0.0088m/s^2  |
    20.5s     |523.4162m      | 0.0898m/s    | 0.0114m/s^2  | 522.9936m      | 0.0090m/s^2  |
    20.6s     |523.4147m      | 0.0887m/s    | 0.0115m/s^2  | 523.0384m      | 0.0161m/s^2  |
    20.7s     |523.4143m      | 0.0876m/s    | 0.0116m/s^2  | 523.0682m      | 0.0112m/s^2  |
    20.8s     |523.4134m      | 0.0866m/s    | 0.0117m/s^2  | 523.0083m      | 0.0131m/s^2  |
    20.9s     |523.4117m      | 0.0862m/s    | 0.0117m/s^2  | 522.9933m      | 0.0183m/s^2  |
    21.0s     |523.4099m      | 0.0855m/s    | 0.0118m/s^2  | 523.0230m      | 0.0192m/s^2  |
    21.1s     |523.4091m      | 0.0850m/s    | 0.0119m/s^2  | 523.0679m      | 0.0200m/s^2  |
